,stimulation,population,feature,time,p.value,FDR
IL1B_Eosino_p38_V4a,IL1B,Eosino,p38,V4a,0.06067658,0.614646797
IL1B_Tregnaive_STAT5_V4a,IL1B,Tregnaive,STAT5,V4a,0.061635736,0.614646797
TNFa_Treg_p38_V4a,TNFa,Treg,p38,V4a,0.061929868,0.614646797
PI_CD56dimCD16pos-NK_S6_V4a,PI,CD56dimCD16pos-NK,S6,V4a,0.062316441,0.614646797
PI_CD8Tcm_pSTAT6_V4a,PI,CD8Tcm,pSTAT6,V4a,0.062316441,0.614646797
PI_CD8Trm_p38_V4a,PI,CD8Trm,p38,V4a,0.062316441,0.614646797
PI_cMC_S6_V4a,PI,cMC,S6,V4a,0.062316441,0.614646797
PI_pDC_ERK_V4a,PI,pDC,ERK,V4a,0.062316441,0.614646797
PI_Tregmem_IkB_V4a,PI,Tregmem,IkB,V4a,0.062316441,0.614646797
IL1B_CD8Trm_STAT5_V4a,IL1B,CD8Trm,STAT5,V4a,0.063030675,0.614646797
LPS_CD4Tem_Frequency_V4a,LPS,CD4Tem,Frequency,V4a,0.063682322,0.614646797
LPS_NK-Tcells_IkB_V4a,LPS,NK-Tcells,IkB,V4a,0.063682322,0.614646797
LPS_Th17_p38_V4a,LPS,Th17,p38,V4a,0.063682322,0.614646797
TNFa_Baso_IkB_V4a,TNFa,Baso,IkB,V4a,0.063682322,0.614646797
TNFa_CD8Tcm_Frequency_V4a,TNFa,CD8Tcm,Frequency,V4a,0.063682322,0.614646797
TNFa_pDC_p38_V4a,TNFa,pDC,p38,V4a,0.063682322,0.614646797
Unstim_CD4Trm_NFkB_V4a,Unstim,CD4Trm,NFkB,V4a,0.063682322,0.614646797
Unstim_cMC_IkB_V4a,Unstim,cMC,IkB,V4a,0.063682322,0.614646797
Unstim_Eosino_ERK_V4a,Unstim,Eosino,ERK,V4a,0.063682322,0.614646797
Unstim_CD4Tem_ERK_V4b,Unstim,CD4Tem,ERK,V4b,0.063682322,0.636129638
Unstim_gdT_pSTAT6_V4b,Unstim,gdT,pSTAT6,V4b,0.063682322,0.636129638
Unstim_Granulocytes_CREB_V4b,Unstim,Granulocytes,CREB,V4b,0.063682322,0.636129638
Unstim_NK-Tcells_ERK_V4b,Unstim,NK-Tcells,ERK,V4b,0.063682322,0.636129638
Unstim_MDSC_ERK_V4b,Unstim,MDSC,ERK,V4b,0.063847285,0.636129638
IFNa_mDC_ERK_V4a,IFNa,mDC,ERK,V4a,0.064959846,0.614646797
IFNa_Eosino_IkB_V4a,IFNa,Eosino,IkB,V4a,0.066536367,0.614646797
IL1B_mDC_ERK_V4a,IL1B,mDC,ERK,V4a,0.066536367,0.614646797
IL1B_mDC_MAPKAPK2_V4a,IL1B,mDC,MAPKAPK2,V4a,0.066536367,0.614646797
IL246_Th1_MAPKAPK2_V4a,IL246,Th1,MAPKAPK2,V4a,0.066536367,0.614646797
TNFa_Tregnaive_MAPKAPK2_V4a,TNFa,Tregnaive,MAPKAPK2,V4a,0.066536367,0.614646797
PI_Bcells_S6_V4a,PI,Bcells,S6,V4a,0.067487797,0.614646797
PI_CD56brightCD16neg-NK_IkB_V4a,PI,CD56brightCD16neg-NK,IkB,V4a,0.067487797,0.614646797
PI_MDSC_S6_V4a,PI,MDSC,S6,V4a,0.067487797,0.614646797
IFNa_Th2_STAT3_V4a,IFNa,Th2,STAT3,V4a,0.068492866,0.614646797
IL246_CD4Tem_Frequency_V4a,IL246,CD4Tem,Frequency,V4a,0.068492866,0.614646797
IL246_CD4Tnaive_STAT5_V4a,IL246,CD4Tnaive,STAT5,V4a,0.068492866,0.614646797
IL246_CD56dimCD16pos-NK_STAT5_V4a,IL246,CD56dimCD16pos-NK,STAT5,V4a,0.068492866,0.614646797
IL246_ncMC_STAT3_V4a,IL246,ncMC,STAT3,V4a,0.068492866,0.614646797
IL246_pDC_ERK_V4a,IL246,pDC,ERK,V4a,0.068492866,0.614646797
LPS_Th2_IkB_V4a,LPS,Th2,IkB,V4a,0.068492866,0.614646797
Unstim_Baso +++_S6_V4a,Unstim,Baso +++,S6,V4a,0.068492866,0.614646797
Unstim_CD56dimCD16pos-NK_NFkB_V4a,Unstim,CD56dimCD16pos-NK,NFkB,V4a,0.068492866,0.614646797
Unstim_CD8Tem_S6_V4a,Unstim,CD8Tem,S6,V4a,0.068492866,0.614646797
Unstim_cMC_CREB_V4a,Unstim,cMC,CREB,V4a,0.068492866,0.614646797
Unstim_gdT_Frequency_V4b,Unstim,gdT,Frequency,V4b,0.068492866,0.636129638
Unstim_cMC_CREB_V5,Unstim,cMC,CREB,V5,0.068492866,0.728745221
IL1B_ncMC_STAT3_V4a,IL1B,ncMC,STAT3,V4a,0.07174418,0.62485471
LPS_CD8Trm_STAT5_V4a,LPS,CD8Trm,STAT5,V4a,0.072284428,0.62485471
PI_CD56dimCD16pos-NK_IkB_V4a,PI,CD56dimCD16pos-NK,IkB,V4a,0.072996536,0.62485471
PI_Th2_IkB_V4a,PI,Th2,IkB,V4a,0.072996536,0.62485471
PI_Treg_IkB_V4a,PI,Treg,IkB,V4a,0.072996536,0.62485471
IFNa_CD4Tem_p38_V4a,IFNa,CD4Tem,p38,V4a,0.073589609,0.62485471
IL246_Th2_CREB_V4a,IL246,Th2,CREB,V4a,0.073589609,0.62485471
LPS_Treg_IkB_V4a,LPS,Treg,IkB,V4a,0.073589609,0.62485471
Unstim_CD4Tem_Frequency_V4a,Unstim,CD4Tem,Frequency,V4a,0.073589609,0.62485471
Unstim_CD8Tcm_NFkB_V4a,Unstim,CD8Tcm,NFkB,V4a,0.073589609,0.62485471
Unstim_Th1mem_ERK_V4a,Unstim,Th1mem,ERK,V4a,0.073589609,0.62485471
Unstim_Th1mem_pSTAT6_V4a,Unstim,Th1mem,pSTAT6,V4a,0.073589609,0.62485471
Unstim_NK-Tcells_NFkB_V4b,Unstim,NK-Tcells,NFkB,V4b,0.073589609,0.636129638
Unstim_Th1mem_IkB_V4b,Unstim,Th1mem,IkB,V4b,0.073589609,0.636129638
Unstim_CD4Tcm_pSTAT6_V5,Unstim,CD4Tcm,pSTAT6,V5,0.073589609,0.728745221
Unstim_Treg_STAT3_V5,Unstim,Treg,STAT3,V5,0.073589609,0.728745221
Unstim_Tregmem_STAT5_V4a,Unstim,Tregmem,STAT5,V4a,0.073769362,0.62485471
IL246_Granulocytes_p38_V4a,IL246,Granulocytes,p38,V4a,0.076783664,0.62485471
IL1B_CD4Tem_Frequency_V4a,IL1B,CD4Tem,Frequency,V4a,0.077271459,0.62485471
IL246_Th1naive_pSTAT6_V4a,IL246,Th1naive,pSTAT6,V4a,0.078856712,0.62485471
PI_CD4Tcm_ERK_V4a,PI,CD4Tcm,ERK,V4a,0.078856712,0.62485471
PI_CD56dimCD16pos-NK_p38_V4a,PI,CD56dimCD16pos-NK,p38,V4a,0.078856712,0.62485471
PI_CD8Tcm_Frequency_V4a,PI,CD8Tcm,Frequency,V4a,0.078856712,0.62485471
PI_cMC_NFkB_V4a,PI,cMC,NFkB,V4a,0.078856712,0.62485471
PI_ncMC_Frequency_V4a,PI,ncMC,Frequency,V4a,0.078856712,0.62485471
PI_ncMC_MAPKAPK2_V4a,PI,ncMC,MAPKAPK2,V4a,0.078856712,0.62485471
IFNa_Baso_IkB_V4a,IFNa,Baso,IkB,V4a,0.078983714,0.62485471
IFNa_Tregmem_MAPKAPK2_V4a,IFNa,Tregmem,MAPKAPK2,V4a,0.078983714,0.62485471
IL246_ncMC_ERK_V4a,IL246,ncMC,ERK,V4a,0.078983714,0.62485471
IL246_Th17_Frequency_V4a,IL246,Th17,Frequency,V4a,0.078983714,0.62485471
IL246_Th17_STAT5_V4a,IL246,Th17,STAT5,V4a,0.078983714,0.62485471
LPS_CD4Trm_MAPKAPK2_V4a,LPS,CD4Trm,MAPKAPK2,V4a,0.078983714,0.62485471
LPS_Tregmem_IkB_V4a,LPS,Tregmem,IkB,V4a,0.078983714,0.62485471
LPS_Tregnaive_IkB_V4a,LPS,Tregnaive,IkB,V4a,0.078983714,0.62485471
TNFa_Baso +++_p38_V4a,TNFa,Baso +++,p38,V4a,0.078983714,0.62485471
TNFa_CD8Tem_p38_V4a,TNFa,CD8Tem,p38,V4a,0.078983714,0.62485471
Unstim_Baso_STAT5_V4a,Unstim,Baso,STAT5,V4a,0.078983714,0.62485471
Unstim_CD8Tnaive_pSTAT6_V4a,Unstim,CD8Tnaive,pSTAT6,V4a,0.078983714,0.62485471
Unstim_MDSC_IkB_V4a,Unstim,MDSC,IkB,V4a,0.078983714,0.62485471
Unstim_Th2_NFkB_V4a,Unstim,Th2,NFkB,V4a,0.078983714,0.62485471
Unstim_CD4Tnaive_NFkB_V4b,Unstim,CD4Tnaive,NFkB,V4b,0.078983714,0.636129638
Unstim_CD8Trm_NFkB_V4b,Unstim,CD8Trm,NFkB,V4b,0.078983714,0.636129638
Unstim_Granulocytes_MAPKAPK2_V5,Unstim,Granulocytes,MAPKAPK2,V5,0.078983714,0.728745221
Unstim_Th17_S6_V5,Unstim,Th17,S6,V5,0.078983714,0.728745221
Unstim_CD4Trm_STAT5_V5,Unstim,CD4Trm,STAT5,V5,0.07902108,0.728745221
TNFa_CD4Tem_STAT3_V4a,TNFa,CD4Tem,STAT3,V4a,0.080330633,0.633032542
Unstim_Baso +++_STAT3_V5,Unstim,Baso +++,STAT3,V5,0.080330633,0.728745221
PI_Tregnaive_p38_V4a,PI,Tregnaive,p38,V4a,0.080543849,0.633032542
IL1B_cMC_p38_V4a,IL1B,cMC,p38,V4a,0.083130853,0.647543041
IL246_CD4Trm_Frequency_V4a,IL246,CD4Trm,Frequency,V4a,0.084685989,0.647543041
LPS_Th1_STAT5_V4a,LPS,Th1,STAT5,V4a,0.084685989,0.647543041
Unstim_CD8Tnaive_ERK_V4a,Unstim,CD8Tnaive,ERK,V4a,0.084685989,0.647543041
Unstim_intMC_S6_V4a,Unstim,intMC,S6,V4a,0.084685989,0.647543041
Unstim_mDC_S6_V4a,Unstim,mDC,S6,V4a,0.084685989,0.647543041
Unstim_Baso_CREB_V4b,Unstim,Baso,CREB,V4b,0.084685989,0.636129638
Unstim_CD4Tcm_pSTAT6_V4b,Unstim,CD4Tcm,pSTAT6,V4b,0.084685989,0.636129638
Unstim_CD4Tem_NFkB_V4b,Unstim,CD4Tem,NFkB,V4b,0.084685989,0.636129638
Unstim_CD8Tem_pSTAT6_V4b,Unstim,CD8Tem,pSTAT6,V4b,0.084685989,0.636129638
Unstim_pDC_Frequency_V4b,Unstim,pDC,Frequency,V4b,0.084685989,0.636129638
Unstim_Tregnaive_ERK_V4b,Unstim,Tregnaive,ERK,V4b,0.084685989,0.636129638
Unstim_CD8Tcm_Frequency_V5,Unstim,CD8Tcm,Frequency,V5,0.084685989,0.728745221
Unstim_CD8Tem_pSTAT6_V5,Unstim,CD8Tem,pSTAT6,V5,0.084685989,0.728745221
Unstim_CD8Tnaive_pSTAT6_V5,Unstim,CD8Tnaive,pSTAT6,V5,0.084685989,0.728745221
Unstim_MDSC_CREB_V5,Unstim,MDSC,CREB,V5,0.084685989,0.728745221
PI_CD4Tcm_MAPKAPK2_V4a,PI,CD4Tcm,MAPKAPK2,V4a,0.085082578,0.647543041
PI_cMC_MAPKAPK2_V4a,PI,cMC,MAPKAPK2,V4a,0.085082578,0.647543041
PI_Eosino_S6_V4a,PI,Eosino,S6,V4a,0.085082578,0.647543041
PI_Tregmem_S6_V4a,PI,Tregmem,S6,V4a,0.085082578,0.647543041
PI_Tregnaive_S6_V4a,PI,Tregnaive,S6,V4a,0.08717902,0.661405501
IL1B_CD4Tem_STAT3_V4a,IL1B,CD4Tem,STAT3,V4a,0.089316713,0.66219203
IFNa_CD56dimCD16pos-NK_p38_V4a,IFNa,CD56dimCD16pos-NK,p38,V4a,0.09070757,0.66219203
IFNa_CD8Tcm_IkB_V4a,IFNa,CD8Tcm,IkB,V4a,0.09070757,0.66219203
IFNa_CD8Trm_p38_V4a,IFNa,CD8Trm,p38,V4a,0.09070757,0.66219203
LPS_Bcells_p38_V4a,LPS,Bcells,p38,V4a,0.09070757,0.66219203
LPS_CD4Tcm_p38_V4a,LPS,CD4Tcm,p38,V4a,0.09070757,0.66219203
LPS_pDC_p38_V4a,LPS,pDC,p38,V4a,0.09070757,0.66219203
Unstim_CD8Trm_IkB_V4a,Unstim,CD8Trm,IkB,V4a,0.09070757,0.66219203
Unstim_cMC_S6_V4a,Unstim,cMC,S6,V4a,0.09070757,0.66219203
Unstim_MDSC_S6_V4b,Unstim,MDSC,S6,V4b,0.09070757,0.639797984
Unstim_Th1_ERK_V4b,Unstim,Th1,ERK,V4b,0.09070757,0.639797984
Unstim_Tregmem_STAT3_V5,Unstim,Tregmem,STAT3,V5,0.09070757,0.760548086
PI_CD8Trm_IkB_V4a,PI,CD8Trm,IkB,V4a,0.091688127,0.66219203
PI_cMC_CREB_V4a,PI,cMC,CREB,V4a,0.091688127,0.66219203
PI_cMC_ERK_V4a,PI,cMC,ERK,V4a,0.091688127,0.66219203
PI_NK-Tcells_S6_V4a,PI,NK-Tcells,S6,V4a,0.091688127,0.66219203
PI_pDC_NFkB_V4a,PI,pDC,NFkB,V4a,0.091688127,0.66219203
PI_Th17_S6_V4a,PI,Th17,S6,V4a,0.091688127,0.66219203
PI_Th2_STAT5_V4a,PI,Th2,STAT5,V4a,0.091688127,0.66219203
PI_Th1naive_CREB_V4a,PI,Th1naive,CREB,V4a,0.092719046,0.667632649
TNFa_Th1naive_CREB_V4a,TNFa,Th1naive,CREB,V4a,0.094478994,0.671670977
IFNa_Eosino_MAPKAPK2_V4a,IFNa,Eosino,MAPKAPK2,V4a,0.09589527,0.671670977
IL1B_MDSC_ERK_V4a,IL1B,MDSC,ERK,V4a,0.09589527,0.671670977
IL1B_Tregnaive_Frequency_V4a,IL1B,Tregnaive,Frequency,V4a,0.09589527,0.671670977
Unstim_Th1mem_pSTAT6_V5,Unstim,Th1mem,pSTAT6,V5,0.09589527,0.7741058
IFNa_CD4Tem_IkB_V4a,IFNa,CD4Tem,IkB,V4a,0.097059137,0.671670977
IFNa_CD8Trm_ERK_V4a,IFNa,CD8Trm,ERK,V4a,0.097059137,0.671670977
LPS_Bcells_IkB_V4a,LPS,Bcells,IkB,V4a,0.097059137,0.671670977
Unstim_Baso +++_IkB_V4a,Unstim,Baso +++,IkB,V4a,0.097059137,0.671670977
Unstim_CD56brightCD16neg-NK_NFkB_V4a,Unstim,CD56brightCD16neg-NK,NFkB,V4a,0.097059137,0.671670977
Unstim_intMC_Frequency_V4a,Unstim,intMC,Frequency,V4a,0.097059137,0.671670977
Unstim_NK-Tcells_S6_V4a,Unstim,NK-Tcells,S6,V4a,0.097059137,0.671670977
Unstim_CD4Tnaive_pSTAT6_V4b,Unstim,CD4Tnaive,pSTAT6,V4b,0.097059137,0.639797984
Unstim_CD4Trm_pSTAT6_V4b,Unstim,CD4Trm,pSTAT6,V4b,0.097059137,0.639797984
Unstim_CD8Tem_ERK_V4b,Unstim,CD8Tem,ERK,V4b,0.097059137,0.639797984
Unstim_Granulocytes_MAPKAPK2_V4b,Unstim,Granulocytes,MAPKAPK2,V4b,0.097059137,0.639797984
Unstim_CD8Tnaive_ERK_V5,Unstim,CD8Tnaive,ERK,V5,0.097059137,0.7741058
LPS_CD4Tem_STAT3_V4a,LPS,CD4Tem,STAT3,V4a,0.097536044,0.671670977
Unstim_Th17_STAT3_V4a,Unstim,Th17,STAT3,V4a,0.097536044,0.671670977
PI_Baso_MAPKAPK2_V4a,PI,Baso,MAPKAPK2,V4a,0.098687447,0.671670977
PI_intMC_Frequency_V4a,PI,intMC,Frequency,V4a,0.098687447,0.671670977
PI_MDSC_CREB_V4a,PI,MDSC,CREB,V4a,0.098687447,0.671670977
PI_MDSC_MAPKAPK2_V4a,PI,MDSC,MAPKAPK2,V4a,0.098687447,0.671670977
PI_MDSC_NFkB_V4a,PI,MDSC,NFkB,V4a,0.098687447,0.671670977
PI_Th2_S6_V4a,PI,Th2,S6,V4a,0.098687447,0.671670977
PI_Th1mem_STAT5_V4a,PI,Th1mem,STAT5,V4a,0.098865499,0.671670977
Unstim_Bcells_ERK_V5,Unstim,Bcells,ERK,V5,0.100383613,0.781558131
LPS_Th1naive_S6_V4a,LPS,Th1naive,S6,V4a,0.101131244,0.677790476
IL1B_Th1naive_STAT5_V4a,IL1B,Th1naive,STAT5,V4a,0.101732784,0.677790476
IL1B_Treg_CREB_V4a,IL1B,Treg,CREB,V4a,0.102216596,0.677790476
IL1B_Tregmem_STAT3_V4a,IL1B,Tregmem,STAT3,V4a,0.102606339,0.677790476
IFNa_pDC_pSTAT6_V4a,IFNa,pDC,pSTAT6,V4a,0.102824873,0.677790476
IL246_Th1_STAT5_V4a,IL246,Th1,STAT5,V4a,0.102824873,0.677790476
IFNa_CD8Tem_p38_V4a,IFNa,CD8Tem,p38,V4a,0.103751654,0.677790476
IL246_CD8Tnaive_STAT5_V4a,IL246,CD8Tnaive,STAT5,V4a,0.103751654,0.677790476
IL246_Granulocytes_CREB_V4a,IL246,Granulocytes,CREB,V4a,0.103751654,0.677790476
TNFa_pDC_ERK_V4a,TNFa,pDC,ERK,V4a,0.103751654,0.677790476
Unstim_Baso_S6_V4a,Unstim,Baso,S6,V4a,0.103751654,0.677790476
Unstim_CD4Tem_pSTAT6_V4a,Unstim,CD4Tem,pSTAT6,V4a,0.103751654,0.677790476
Unstim_Th1mem_MAPKAPK2_V4a,Unstim,Th1mem,MAPKAPK2,V4a,0.103751654,0.677790476
Unstim_Th2_STAT5_V4a,Unstim,Th2,STAT5,V4a,0.103751654,0.677790476
Unstim_Baso +++_CREB_V4b,Unstim,Baso +++,CREB,V4b,0.103751654,0.670235687
Unstim_CD8Tcm_ERK_V5,Unstim,CD8Tcm,ERK,V5,0.103751654,0.788995138
IFNa_Baso +++_ERK_V4a,IFNa,Baso +++,ERK,V4a,0.103993632,0.677790476
PI_Baso +++_CREB_V4a,PI,Baso +++,CREB,V4a,0.106094247,0.689612604
IL1B_intMC_p38_V4a,IL1B,intMC,p38,V4a,0.109328213,0.703069368
PI_Tregnaive_IkB_V4a,PI,Tregnaive,IkB,V4a,0.109671261,0.703069368
IL246_Th1_S6_V4a,IL246,Th1,S6,V4a,0.110135694,0.703069368
IL246_Th1mem_MAPKAPK2_V4a,IL246,Th1mem,MAPKAPK2,V4a,0.110135694,0.703069368
IFNa_CD4Tcm_MAPKAPK2_V4a,IFNa,CD4Tcm,MAPKAPK2,V4a,0.110795547,0.703069368
IL246_CD4Tem_CREB_V4a,IL246,CD4Tem,CREB,V4a,0.110795547,0.703069368
IL246_mDC_p38_V4a,IL246,mDC,p38,V4a,0.110795547,0.703069368
LPS_CD8Tcm_p38_V4a,LPS,CD8Tcm,p38,V4a,0.110795547,0.703069368
LPS_intMC_Frequency_V4a,LPS,intMC,Frequency,V4a,0.110795547,0.703069368
Unstim_CD56brightCD16neg-NK_NFkB_V4b,Unstim,CD56brightCD16neg-NK,NFkB,V4b,0.110795547,0.674661726
Unstim_Th17_NFkB_V4b,Unstim,Th17,NFkB,V4b,0.110795547,0.674661726
Unstim_CD4Trm_NFkB_V5,Unstim,CD4Trm,NFkB,V5,0.110795547,0.822022192
IL246_Th1naive_NFkB_V4a,IL246,Th1naive,NFkB,V4a,0.113922226,0.703649733
PI_Baso +++_MAPKAPK2_V4a,PI,Baso +++,MAPKAPK2,V4a,0.113922226,0.703649733
PI_Bcells_NFkB_V4a,PI,Bcells,NFkB,V4a,0.113922226,0.703649733
PI_CD8Trm_ERK_V4a,PI,CD8Trm,ERK,V4a,0.113922226,0.703649733
PI_pDC_IkB_V4a,PI,pDC,IkB,V4a,0.113922226,0.703649733
PI_Th2_Frequency_V4a,PI,Th2,Frequency,V4a,0.113922226,0.703649733
PI_Treg_MAPKAPK2_V4a,PI,Treg,MAPKAPK2,V4a,0.113922226,0.703649733
Unstim_Bcells_ERK_V4b,Unstim,Bcells,ERK,V4b,0.115873995,0.674661726
TNFa_Th1naive_STAT5_V4a,TNFa,Th1naive,STAT5,V4a,0.115874127,0.703649733
LPS_CD56brightCD16neg-NK_p38_V4a,LPS,CD56brightCD16neg-NK,p38,V4a,0.117110273,0.703649733
IL1B_Th2_CREB_V4a,IL1B,Th2,CREB,V4a,0.117352134,0.703649733
IFNa_Tregnaive_S6_V4a,IFNa,Tregnaive,S6,V4a,0.117839375,0.703649733
IFNa_CD4Trm_p38_V4a,IFNa,CD4Trm,p38,V4a,0.118201452,0.703649733
IFNa_mDC_p38_V4a,IFNa,mDC,p38,V4a,0.118201452,0.703649733
IFNa_ncMC_p38_V4a,IFNa,ncMC,p38,V4a,0.118201452,0.703649733
IFNa_NK-Tcells_p38_V4a,IFNa,NK-Tcells,p38,V4a,0.118201452,0.703649733
IL246_CD4Tcm_STAT3_V4a,IL246,CD4Tcm,STAT3,V4a,0.118201452,0.703649733
LPS_Baso_Frequency_V4a,LPS,Baso,Frequency,V4a,0.118201452,0.703649733
LPS_Eosino_IkB_V4a,LPS,Eosino,IkB,V4a,0.118201452,0.703649733
LPS_Eosino_p38_V4a,LPS,Eosino,p38,V4a,0.118201452,0.703649733
LPS_MDSC_IkB_V4a,LPS,MDSC,IkB,V4a,0.118201452,0.703649733
LPS_ncMC_ERK_V4a,LPS,ncMC,ERK,V4a,0.118201452,0.703649733
LPS_Th1mem_p38_V4a,LPS,Th1mem,p38,V4a,0.118201452,0.703649733
TNFa_pDC_Frequency_V4a,TNFa,pDC,Frequency,V4a,0.118201452,0.703649733
Unstim_Tregmem_IkB_V4a,Unstim,Tregmem,IkB,V4a,0.118201452,0.703649733
Unstim_Tregmem_pSTAT6_V4a,Unstim,Tregmem,pSTAT6,V4a,0.118201452,0.703649733
Unstim_CD4Tem_Frequency_V4b,Unstim,CD4Tem,Frequency,V4b,0.118201452,0.674661726
Unstim_Granulocytes_S6_V4b,Unstim,Granulocytes,S6,V4b,0.118201452,0.674661726
Unstim_Tregmem_pSTAT6_V4b,Unstim,Tregmem,pSTAT6,V4b,0.118201452,0.674661726
Unstim_Baso +++_CREB_V5,Unstim,Baso +++,CREB,V5,0.118201452,0.822022192
Unstim_pDC_ERK_V4b,Unstim,pDC,ERK,V4b,0.119057952,0.674661726
PI_CD8Tnaive_STAT3_V4a,PI,CD8Tnaive,STAT3,V4a,0.120006348,0.712630288
PI_CD4Tnaive_IkB_V4a,PI,CD4Tnaive,IkB,V4a,0.122184595,0.712895071
PI_CD8Tcm_S6_V4a,PI,CD8Tcm,S6,V4a,0.122184595,0.712895071
PI_CD8Tnaive_pSTAT6_V4a,PI,CD8Tnaive,pSTAT6,V4a,0.122184595,0.712895071
PI_gdT_p38_V4a,PI,gdT,p38,V4a,0.122184595,0.712895071
PI_Th17_IkB_V4a,PI,Th17,IkB,V4a,0.122184595,0.712895071
TNFa_Baso_STAT3_V4a,TNFa,Baso,STAT3,V4a,0.124762743,0.712895071
IFNa_Tregnaive_NFkB_V4a,IFNa,Tregnaive,NFkB,V4a,0.125947721,0.712895071
IL1B_ncMC_p38_V4a,IL1B,ncMC,p38,V4a,0.125947721,0.712895071
IFNa_CD56brightCD16neg-NK_NFkB_V4a,IFNa,CD56brightCD16neg-NK,NFkB,V4a,0.125979378,0.712895071
IFNa_Th1mem_ERK_V4a,IFNa,Th1mem,ERK,V4a,0.125979378,0.712895071
IL246_CD56brightCD16neg-NK_CREB_V4a,IL246,CD56brightCD16neg-NK,CREB,V4a,0.125979378,0.712895071
IL246_CD56brightCD16neg-NK_MAPKAPK2_V4a,IL246,CD56brightCD16neg-NK,MAPKAPK2,V4a,0.125979378,0.712895071
IL246_Th2_STAT5_V4a,IL246,Th2,STAT5,V4a,0.125979378,0.712895071
IL246_Treg_STAT3_V4a,IL246,Treg,STAT3,V4a,0.125979378,0.712895071
LPS_CD4Tnaive_S6_V4a,LPS,CD4Tnaive,S6,V4a,0.125979378,0.712895071
LPS_NK-Tcells_MAPKAPK2_V4a,LPS,NK-Tcells,MAPKAPK2,V4a,0.125979378,0.712895071
LPS_NK-Tcells_pSTAT6_V4a,LPS,NK-Tcells,pSTAT6,V4a,0.125979378,0.712895071
LPS_Treg_p38_V4a,LPS,Treg,p38,V4a,0.125979378,0.712895071
TNFa_CD56brightCD16neg-NK_ERK_V4a,TNFa,CD56brightCD16neg-NK,ERK,V4a,0.125979378,0.712895071
TNFa_CD8Trm_Frequency_V4a,TNFa,CD8Trm,Frequency,V4a,0.125979378,0.712895071
Unstim_CD8Tnaive_STAT3_V4b,Unstim,CD8Tnaive,STAT3,V4b,0.127468351,0.709866852
Unstim_Tregnaive_S6_V4a,Unstim,Tregnaive,S6,V4a,0.128825303,0.717083518
PI_Granulocytes_MAPKAPK2_V4a,PI,Granulocytes,MAPKAPK2,V4a,0.130894429,0.717083518
PI_Granulocytes_p38_V4a,PI,Granulocytes,p38,V4a,0.130894429,0.717083518
PI_intMC_NFkB_V4a,PI,intMC,NFkB,V4a,0.130894429,0.717083518
PI_mDC_MAPKAPK2_V4a,PI,mDC,MAPKAPK2,V4a,0.130894429,0.717083518
PI_Th17_STAT5_V4a,PI,Th17,STAT5,V4a,0.130894429,0.717083518
PI_Treg_ERK_V4a,PI,Treg,ERK,V4a,0.130894429,0.717083518
PI_Tregnaive_Frequency_V4a,PI,Tregnaive,Frequency,V4a,0.130894429,0.717083518
IL246_Tregmem_CREB_V4a,IL246,Tregmem,CREB,V4a,0.132382863,0.717083518
Unstim_CD4Tnaive_S6_V4a,Unstim,CD4Tnaive,S6,V4a,0.1327822,0.717083518
IL1B_Bcells_ERK_V4a,IL1B,Bcells,ERK,V4a,0.13314129,0.717083518
LPS_Baso +++_STAT3_V4a,LPS,Baso +++,STAT3,V4a,0.13376814,0.717083518
IFNa_Baso +++_NFkB_V4a,IFNa,Baso +++,NFkB,V4a,0.134139496,0.717083518
IFNa_CD4Tcm_IkB_V4a,IFNa,CD4Tcm,IkB,V4a,0.134139496,0.717083518
IFNa_CD8Tem_ERK_V4a,IFNa,CD8Tem,ERK,V4a,0.134139496,0.717083518
IFNa_CD8Tem_MAPKAPK2_V4a,IFNa,CD8Tem,MAPKAPK2,V4a,0.134139496,0.717083518
IFNa_gdT_p38_V4a,IFNa,gdT,p38,V4a,0.134139496,0.717083518
IFNa_Treg_MAPKAPK2_V4a,IFNa,Treg,MAPKAPK2,V4a,0.134139496,0.717083518
IL246_cMC_S6_V4a,IL246,cMC,S6,V4a,0.134139496,0.717083518
TNFa_Tregnaive_Frequency_V4a,TNFa,Tregnaive,Frequency,V4a,0.134139496,0.717083518
Unstim_CD4Tcm_IkB_V4a,Unstim,CD4Tcm,IkB,V4a,0.134139496,0.717083518
Unstim_mDC_CREB_V4a,Unstim,mDC,CREB,V4a,0.134139496,0.717083518
Unstim_Th17_IkB_V4a,Unstim,Th17,IkB,V4a,0.134139496,0.717083518
Unstim_mDC_S6_V4b,Unstim,mDC,S6,V4b,0.134139496,0.734356902
Unstim_CD4Tnaive_STAT3_V5,Unstim,CD4Tnaive,STAT3,V5,0.134139496,0.822022192
Unstim_gdT_pSTAT6_V5,Unstim,gdT,pSTAT6,V5,0.134139496,0.822022192
Unstim_Th1naive_IkB_V5,Unstim,Th1naive,IkB,V5,0.134139496,0.822022192
IFNa_Tregnaive_IkB_V4a,IFNa,Tregnaive,IkB,V4a,0.134471795,0.717083518
IL1B_CD8Tnaive_pSTAT6_V4a,IL1B,CD8Tnaive,pSTAT6,V4a,0.134471795,0.717083518
IL1B_Th1_CREB_V4a,IL1B,Th1,CREB,V4a,0.134471795,0.717083518
LPS_NK-Tcells_p38_V4a,LPS,NK-Tcells,p38,V4a,0.134883682,0.717688618
